Epoch:122/1000, hm:1.30604, ciou:0.32378, lm:20.89851, total:5.01481
Epoch:123/1000, hm:1.30795, ciou:0.32316, lm:21.06847, total:5.03058
Epoch:124/1000, hm:1.29344, ciou:0.32500, lm:21.13026, total:5.03149
Epoch:125/1000, hm:1.28995, ciou:0.32020, lm:20.82623, total:4.97358
Epoch:126/1000, hm:1.25609, ciou:0.32619, lm:20.80715, total:4.96773
Epoch:127/1000, hm:1.25751, ciou:0.32031, lm:20.80945, total:4.93999
Epoch:128/1000, hm:1.26570, ciou:0.32160, lm:20.85466, total:4.95917
Epoch:129/1000, hm:1.26662, ciou:0.32402, lm:20.91311, total:4.97802
Epoch:130/1000, hm:1.25856, ciou:0.31916, lm:20.70144, total:4.92451
Epoch:130/1000, Easy:0.88981, Medium:0.87139, Hard:0.70801
Epoch:131/1000, hm:1.27731, ciou:0.32059, lm:20.88895, total:4.96915
Epoch:132/1000, hm:1.25418, ciou:0.32333, lm:20.86581, total:4.95740
Epoch:133/1000, hm:1.25823, ciou:0.32088, lm:20.67011, total:4.92963
Epoch:134/1000, hm:1.23997, ciou:0.32447, lm:20.85427, total:4.94775
Epoch:135/1000, hm:1.26394, ciou:0.31903, lm:20.59679, total:4.91875
Epoch:136/1000, hm:1.25823, ciou:0.31947, lm:20.31567, total:4.88715
Epoch:137/1000, hm:1.23037, ciou:0.31770, lm:20.53733, total:4.87259
Epoch:138/1000, hm:1.26536, ciou:0.32025, lm:20.77454, total:4.94405
Epoch:139/1000, hm:1.25146, ciou:0.31730, lm:20.54667, total:4.89265
Epoch:140/1000, hm:1.24080, ciou:0.31752, lm:20.43687, total:4.87207
Epoch:140/1000, Easy:0.89047, Medium:0.87384, Hard:0.71075
Epoch:141/1000, hm:1.28787, ciou:0.31649, lm:20.37139, total:4.90746
Epoch:142/1000, hm:1.23127, ciou:0.32024, lm:20.39174, total:4.87163
Epoch:143/1000, hm:1.23816, ciou:0.31444, lm:20.01731, total:4.81208
